### OUTPUT ###
ID#1 : time : 27423, Operation : delete, fitness : 0.64
ID#53 : time : 175, Operation : replace, fitness : 0.88
ID#54 : time : 42, Operation : insert_before, fitness : -1.0
ID#55 : time : 189, Operation : insert_after, fitness : 0.92
ID#56 : time : 58, Operation : replace, fitness : -1.0
ID#57 : time : 4, Operation : delete, fitness : -1.0
ID#58 : time : 4, Operation : delete, fitness : -1.0
ID#59 : time : 3, Operation : delete, fitness : -1.0
ID#60 : time : 169, Operation : delete, fitness : 0.88
ID#61 : time : 33, Operation : replace, fitness : -1.0
ID#62 : time : 44, Operation : insert_before, fitness : -1.0
ID#63 : time : 6, Operation : delete, fitness : -1.0
ID#64 : time : 177, Operation : delete, fitness : 0.92
ID#65 : time : 36, Operation : delete, fitness : -1.0
ID#66 : time : 0, Operation : insert_before, fitness : -1.0
ID#67 : time : 0, Operation : insert_after, fitness : -1.0
ID#68 : time : 41, Operation : replace, fitness : -1.0
ID#69 : time : 35, Operation : insert_after, fitness : -1.0
ID#70 : time : 117, Operation : delete, fitness : 0.76
ID#71 : time : 266, Operation : insert_before, fitness : -1.0
ID#72 : time : 4, Operation : delete, fitness : -1.0
ID#73 : time : 253, Operation : insert_after, fitness : -1.0
ID#74 : time : 396, Operation : delete, fitness : 0.88
ID#75 : time : 15317, Operation : delete, fitness : 0.76
ID#76 : time : 248, Operation : insert_before, fitness : -1.0
ID#77 : time : 217, Operation : insert_before, fitness : -1.0
ID#78 : time : 243, Operation : replace, fitness : -1.0
ID#79 : time : 30, Operation : replace, fitness : -1.0
ID#80 : time : 195, Operation : insert_before, fitness : -1.0
ID#81 : time : 232, Operation : replace, fitness : -1.0
ID#82 : time : 34, Operation : insert_after, fitness : -1.0
ID#83 : time : 246, Operation : delete, fitness : -1.0
ID#84 : time : 247, Operation : replace, fitness : -1.0
ID#85 : time : 249, Operation : insert_before, fitness : -1.0
ID#86 : time : 244, Operation : insert_before, fitness : -1.0
ID#87 : time : 283, Operation : insert_before, fitness : -1.0
ID#88 : time : 232, Operation : replace, fitness : -1.0
ID#89 : time : 222, Operation : insert_before, fitness : -1.0
ID#90 : time : 351, Operation : replace, fitness : 0.88
ID#91 : time : 249, Operation : replace, fitness : -1.0
ID#92 : time : 28, Operation : delete, fitness : -1.0
ID#93 : time : 3, Operation : delete, fitness : -1.0
ID#94 : time : 276, Operation : delete, fitness : -1.0
ID#95 : time : 197, Operation : delete, fitness : -1.0
ID#96 : time : 368, Operation : delete, fitness : 0.92
ID#97 : time : 279, Operation : replace, fitness : -1.0
ID#98 : time : 231, Operation : replace, fitness : -1.0
ID#99 : time : 398, Operation : replace, fitness : 0.88
ID#100 : time : 211, Operation : insert_before, fitness : -1.0
ID#101 : time : 385, Operation : delete, fitness : 0.88
ID#102 : time : 346, Operation : delete, fitness : 0.76
ID#103 : time : 226, Operation : delete, fitness : -1.0
ID#104 : time : 227, Operation : replace, fitness : -1.0
ID#105 : time : 18371, Operation : delete, fitness : 0.64
ID#106 : time : 246, Operation : insert_before, fitness : -1.0
ID#107 : time : 18321, Operation : delete, fitness : 0.64
ID#108 : time : 195, Operation : delete, fitness : -1.0
ID#109 : time : 421, Operation : insert_before, fitness : 0.92
ID#110 : time : 46, Operation : replace, fitness : -1.0
ID#111 : time : 378, Operation : delete, fitness : 0.92
ID#112 : time : 284, Operation : insert_after, fitness : -1.0
ID#113 : time : 225, Operation : delete, fitness : -1.0
ID#114 : time : 492, Operation : delete, fitness : 0.8
ID#115 : time : 221, Operation : insert_after, fitness : -1.0
ID#116 : time : 378, Operation : delete, fitness : 0.92
ID#117 : time : 195, Operation : delete, fitness : -1.0
ID#118 : time : 294, Operation : replace, fitness : -1.0
ID#119 : time : 352, Operation : delete, fitness : 0.88
ID#120 : time : 247, Operation : insert_after, fitness : -1.0
ID#121 : time : 368, Operation : delete, fitness : 0.88
ID#122 : time : 222, Operation : replace, fitness : -1.0
ID#123 : time : 213, Operation : delete, fitness : -1.0
ID#124 : time : 282, Operation : insert_after, fitness : -1.0
ID#125 : time : 31, Operation : replace, fitness : -1.0
ID#126 : time : 4, Operation : delete, fitness : -1.0
ID#127 : time : 404, Operation : insert_before, fitness : 0.92
ID#128 : time : 291, Operation : replace, fitness : -1.0
ID#129 : time : 289, Operation : insert_after, fitness : -1.0
ID#130 : time : 196, Operation : delete, fitness : -1.0
ID#131 : time : 194, Operation : delete, fitness : -1.0
ID#132 : time : 194, Operation : delete, fitness : -1.0
ID#133 : time : 0, Operation : insert_before, fitness : -1.0
ID#134 : time : 279, Operation : delete, fitness : -1.0
ID#135 : time : 409, Operation : delete, fitness : 0.92
ID#136 : time : 199, Operation : delete, fitness : -1.0
ID#137 : time : 233, Operation : replace, fitness : -1.0
ID#138 : time : 381, Operation : delete, fitness : 0.88
ID#139 : time : 241, Operation : insert_after, fitness : -1.0
ID#140 : time : 234, Operation : replace, fitness : -1.0
ID#141 : time : 460, Operation : delete, fitness : -1.0
ID#142 : time : 452, Operation : replace, fitness : -1.0
ID#143 : time : 384, Operation : insert_after, fitness : -1.0
ID#144 : time : 463, Operation : insert_before, fitness : -1.0
ID#145 : time : 40, Operation : delete, fitness : -1.0
ID#146 : time : 434, Operation : replace, fitness : -1.0
ID#147 : time : 6, Operation : delete, fitness : -1.0
ID#148 : time : 378, Operation : delete, fitness : -1.0
ID#149 : time : 458, Operation : insert_after, fitness : -1.0
ID#150 : time : 445, Operation : insert_before, fitness : -1.0
ID#151 : time : 407, Operation : insert_before, fitness : -1.0
ID#152 : time : 92, Operation : replace, fitness : -1.0
ID#153 : time : 9, Operation : delete, fitness : -1.0
ID#154 : time : 577, Operation : delete, fitness : 0.92
ID#155 : time : 450, Operation : insert_after, fitness : -1.0
ID#156 : time : 446, Operation : replace, fitness : -1.0
ID#157 : time : 163, Operation : delete, fitness : 0.92
ID#158 : time : 21132, Operation : delete, fitness : 0.64
ID#159 : time : 193, Operation : delete, fitness : 0.8
ID#160 : time : 459, Operation : insert_after, fitness : -1.0
ID#161 : time : 447, Operation : insert_after, fitness : -1.0
ID#162 : time : 6, Operation : delete, fitness : -1.0
ID#163 : time : 39, Operation : insert_before, fitness : -1.0
ID#164 : time : 411, Operation : delete, fitness : -1.0
ID#165 : time : 433, Operation : delete, fitness : -1.0
ID#166 : time : 434, Operation : delete, fitness : -1.0
ID#167 : time : 40, Operation : insert_after, fitness : -1.0
ID#168 : time : 376, Operation : insert_before, fitness : -1.0
ID#169 : time : 375, Operation : insert_before, fitness : -1.0
ID#170 : time : 457, Operation : delete, fitness : -1.0
ID#171 : time : 407, Operation : delete, fitness : -1.0
ID#172 : time : 42, Operation : replace, fitness : -1.0
ID#173 : time : 452, Operation : insert_after, fitness : -1.0
ID#174 : time : 445, Operation : replace, fitness : -1.0
ID#175 : time : 33, Operation : replace, fitness : -1.0
ID#176 : time : 460, Operation : insert_after, fitness : -1.0
ID#177 : time : 410, Operation : insert_after, fitness : -1.0
ID#178 : time : 33, Operation : insert_before, fitness : -1.0
ID#179 : time : 36, Operation : replace, fitness : -1.0
ID#180 : time : 18489, Operation : delete, fitness : 0.64
ID#181 : time : 377, Operation : insert_after, fitness : -1.0
ID#182 : time : 39, Operation : insert_after, fitness : -1.0
ID#183 : time : 37, Operation : insert_before, fitness : -1.0
ID#184 : time : 409, Operation : insert_after, fitness : -1.0
ID#185 : time : 419, Operation : delete, fitness : -1.0
ID#186 : time : 174, Operation : delete, fitness : 0.92
ID#187 : time : 4, Operation : insert_before, fitness : -1.0
ID#188 : time : 4, Operation : insert_before, fitness : -1.0
ID#189 : time : 458, Operation : replace, fitness : -1.0
ID#190 : time : 460, Operation : replace, fitness : -1.0
ID#191 : time : 15546, Operation : delete, fitness : 0.76
ID#192 : time : 466, Operation : replace, fitness : -1.0
ID#193 : time : 428, Operation : insert_after, fitness : -1.0
ID#194 : time : 416, Operation : insert_after, fitness : -1.0
ID#195 : time : 463, Operation : delete, fitness : -1.0
ID#196 : time : 408, Operation : replace, fitness : -1.0
ID#197 : time : 34, Operation : replace, fitness : -1.0
ID#198 : time : 33, Operation : replace, fitness : -1.0
ID#199 : time : 31, Operation : delete, fitness : -1.0
ID#200 : time : 456, Operation : insert_after, fitness : -1.0
ID#201 : time : 444, Operation : replace, fitness : -1.0
ID#202 : time : 3, Operation : insert_after, fitness : -1.0
ID#203 : time : 185, Operation : replace, fitness : 0.88
ID#204 : time : 449, Operation : replace, fitness : -1.0
ID#205 : time : 531, Operation : delete, fitness : 0.92
ID#206 : time : 470, Operation : delete, fitness : -1.0
ID#207 : time : 57, Operation : replace, fitness : -1.0
ID#208 : time : 14, Operation : delete, fitness : -1.0
ID#209 : time : 58, Operation : delete, fitness : -1.0
ID#210 : time : 175, Operation : replace, fitness : 0.92
ID#211 : time : 784, Operation : random-crossover, fitness : 0.92
ID#212 : time : 837, Operation : random-crossover, fitness : -1.0
ID#213 : time : 796, Operation : random-crossover, fitness : -1.0
ID#214 : time : 785, Operation : random-crossover, fitness : -1.0
ID#215 : time : 839, Operation : random-crossover, fitness : -1.0
ID#216 : time : 784, Operation : random-crossover, fitness : 0.92
ID#217 : time : 785, Operation : random-crossover, fitness : 0.92
ID#218 : time : 796, Operation : random-crossover, fitness : 0.92
ID#219 : time : 799, Operation : random-crossover, fitness : -1.0
ID#220 : time : 840, Operation : random-crossover, fitness : -1.0
ID#221 : time : 835, Operation : random-crossover, fitness : -1.0
ID#222 : time : 800, Operation : random-crossover, fitness : -1.0
ID#223 : time : 838, Operation : random-crossover, fitness : 0.92
ID#224 : time : 797, Operation : random-crossover, fitness : -1.0
ID#225 : time : 838, Operation : random-crossover, fitness : -1.0
ID#226 : time : 784, Operation : random-crossover, fitness : -1.0
ID#227 : time : 837, Operation : random-crossover, fitness : -1.0
ID#228 : time : 784, Operation : random-crossover, fitness : -1.0
ID#229 : time : 796, Operation : random-crossover, fitness : -1.0
ID#230 : time : 837, Operation : random-crossover, fitness : -1.0
ID#231 : time : 784, Operation : random-crossover, fitness : -1.0
ID#232 : time : 783, Operation : random-crossover, fitness : -1.0
ID#233 : time : 795, Operation : random-crossover, fitness : -1.0
ID#234 : time : 785, Operation : random-crossover, fitness : -1.0
ID#235 : time : 797, Operation : random-crossover, fitness : -1.0
ID#236 : time : 784, Operation : random-crossover, fitness : -1.0
ID#237 : time : 784, Operation : random-crossover, fitness : -1.0
ID#238 : time : 836, Operation : random-crossover, fitness : -1.0
ID#239 : time : 836, Operation : random-crossover, fitness : -1.0
ID#240 : time : 836, Operation : random-crossover, fitness : -1.0
ID#241 : time : 238, Operation : delete, fitness : 0.88
ID#242 : time : 825, Operation : replace, fitness : -1.0
ID#243 : time : 794, Operation : delete, fitness : -1.0
ID#244 : time : 347, Operation : delete, fitness : 0.8
ID#245 : time : 21903, Operation : delete, fitness : 0.64
ID#246 : time : 947, Operation : replace, fitness : 0.92
ID#247 : time : 791, Operation : insert_before, fitness : -1.0
ID#248 : time : 819, Operation : insert_after, fitness : -1.0
ID#249 : time : 183, Operation : insert_before, fitness : -1.0
ID#250 : time : 846, Operation : insert_before, fitness : -1.0
ID#251 : time : 214, Operation : insert_after, fitness : -1.0
ID#252 : time : 836, Operation : replace, fitness : -1.0
ID#253 : time : 10, Operation : delete, fitness : -1.0
ID#254 : time : 15293, Operation : delete, fitness : 0.76
ID#255 : time : 805, Operation : insert_after, fitness : -1.0
ID#256 : time : 215, Operation : delete, fitness : -1.0
ID#257 : time : 839, Operation : insert_after, fitness : -1.0
ID#258 : time : 34, Operation : insert_after, fitness : -1.0
ID#259 : time : 4, Operation : insert_after, fitness : -1.0
ID#260 : time : 821, Operation : insert_before, fitness : -1.0
ID#261 : time : 218, Operation : insert_after, fitness : -1.0
ID#262 : time : 810, Operation : delete, fitness : -1.0
ID#263 : time : 37, Operation : replace, fitness : -1.0
ID#264 : time : 40, Operation : replace, fitness : -1.0
ID#265 : time : 40, Operation : replace, fitness : -1.0
ID#266 : time : 35, Operation : replace, fitness : -1.0
ID#267 : time : 837, Operation : delete, fitness : -1.0
ID#268 : time : 794, Operation : insert_after, fitness : -1.0
ID#269 : time : 13, Operation : delete, fitness : -1.0
ID#270 : time : 45, Operation : replace, fitness : -1.0
ID#271 : time : 829, Operation : insert_before, fitness : -1.0
ID#272 : time : 224, Operation : delete, fitness : -1.0
ID#273 : time : 7, Operation : insert_after, fitness : -1.0
ID#274 : time : 21293, Operation : delete, fitness : 0.64
ID#275 : time : 835, Operation : delete, fitness : -1.0
ID#276 : time : 7, Operation : delete, fitness : -1.0
ID#277 : time : 34, Operation : insert_before, fitness : -1.0
ID#278 : time : 214, Operation : replace, fitness : -1.0
ID#279 : time : 797, Operation : replace, fitness : -1.0
ID#280 : time : 7, Operation : insert_before, fitness : -1.0
ID#281 : time : 822, Operation : replace, fitness : -1.0
ID#282 : time : 823, Operation : delete, fitness : -1.0
ID#283 : time : 38, Operation : replace, fitness : -1.0
ID#284 : time : 7, Operation : delete, fitness : -1.0
ID#285 : time : 6, Operation : insert_after, fitness : -1.0
ID#286 : time : 217, Operation : delete, fitness : -1.0
ID#287 : time : 838, Operation : insert_after, fitness : -1.0
ID#288 : time : 36, Operation : delete, fitness : -1.0
ID#289 : time : 40, Operation : replace, fitness : -1.0
ID#290 : time : 851, Operation : replace, fitness : -1.0
ID#291 : time : 8, Operation : delete, fitness : -1.0
ID#292 : time : 216, Operation : insert_after, fitness : -1.0
ID#293 : time : 216, Operation : delete, fitness : -1.0
ID#294 : time : 4, Operation : insert_before, fitness : -1.0
ID#295 : time : 342, Operation : delete, fitness : 0.88
ID#296 : time : 36, Operation : replace, fitness : -1.0
ID#297 : time : 183, Operation : insert_before, fitness : -1.0
ID#298 : time : 825, Operation : delete, fitness : -1.0
ID#299 : time : 218, Operation : replace, fitness : -1.0
ID#300 : time : 7, Operation : delete, fitness : -1.0
ID#301 : time : 831, Operation : replace, fitness : -1.0
ID#302 : time : 187, Operation : delete, fitness : -1.0
ID#303 : time : 32, Operation : insert_after, fitness : -1.0
ID#304 : time : 36, Operation : replace, fitness : -1.0
ID#305 : time : 41, Operation : replace, fitness : -1.0
ID#306 : time : 41, Operation : insert_after, fitness : -1.0
ID#307 : time : 791, Operation : insert_before, fitness : -1.0
ID#308 : time : 835, Operation : replace, fitness : -1.0
ID#309 : time : 794, Operation : delete, fitness : -1.0
ID#310 : time : 16020, Operation : delete, fitness : 0.76
ID#311 : time : 791, Operation : random-crossover, fitness : -1.0
ID#312 : time : 966, Operation : random-crossover, fitness : 0.88
ID#313 : time : 979, Operation : random-crossover, fitness : -1.0
ID#314 : time : 183, Operation : random-crossover, fitness : 0.88
ID#315 : time : 968, Operation : random-crossover, fitness : -1.0
ID#316 : time : 968, Operation : random-crossover, fitness : -1.0
ID#317 : time : 978, Operation : random-crossover, fitness : 0.88
ID#318 : time : 184, Operation : random-crossover, fitness : 0.88
ID#319 : time : 978, Operation : random-crossover, fitness : -1.0
ID#320 : time : 803, Operation : random-crossover, fitness : -1.0
ID#321 : time : 966, Operation : random-crossover, fitness : -1.0
ID#322 : time : 979, Operation : random-crossover, fitness : -1.0
ID#323 : time : 790, Operation : random-crossover, fitness : -1.0
ID#324 : time : 1589, Operation : random-crossover, fitness : -1.0
ID#325 : time : 791, Operation : random-crossover, fitness : -1.0
ID#326 : time : 981, Operation : random-crossover, fitness : -1.0
ID#327 : time : 792, Operation : random-crossover, fitness : -1.0
ID#328 : time : 791, Operation : random-crossover, fitness : -1.0
ID#329 : time : 803, Operation : random-crossover, fitness : -1.0
ID#330 : time : 967, Operation : random-crossover, fitness : -1.0
ID#331 : time : 979, Operation : random-crossover, fitness : -1.0
ID#332 : time : 791, Operation : random-crossover, fitness : -1.0
ID#333 : time : 967, Operation : random-crossover, fitness : -1.0
ID#334 : time : 183, Operation : random-crossover, fitness : -1.0
ID#335 : time : 966, Operation : random-crossover, fitness : -1.0
ID#336 : time : 980, Operation : random-crossover, fitness : -1.0
ID#337 : time : 182, Operation : random-crossover, fitness : -1.0
ID#338 : time : 978, Operation : random-crossover, fitness : -1.0
ID#339 : time : 183, Operation : random-crossover, fitness : -1.0
ID#340 : time : 979, Operation : random-crossover, fitness : -1.0
ID#341 : time : 11, Operation : delete, fitness : -1.0
ID#342 : time : 37, Operation : delete, fitness : -1.0
ID#343 : time : 221, Operation : delete, fitness : 0.92
ID#344 : time : 10, Operation : insert_after, fitness : -1.0
ID#345 : time : 10, Operation : delete, fitness : -1.0
ID#346 : time : 54, Operation : insert_after, fitness : -1.0
ID#347 : time : 35, Operation : delete, fitness : -1.0
ID#348 : time : 10, Operation : delete, fitness : -1.0
ID#349 : time : 43, Operation : replace, fitness : -1.0
ID#350 : time : 171, Operation : delete, fitness : 0.88
ID#351 : time : 34, Operation : insert_before, fitness : -1.0
ID#352 : time : 8, Operation : insert_after, fitness : -1.0
ID#353 : time : 40, Operation : replace, fitness : -1.0
ID#354 : time : 27113, Operation : delete, fitness : 0.64
ID#355 : time : 43, Operation : insert_after, fitness : -1.0
ID#356 : time : 35, Operation : insert_after, fitness : -1.0
ID#357 : time : 43, Operation : insert_after, fitness : -1.0
ID#358 : time : 190, Operation : delete, fitness : 0.92
ID#359 : time : 184, Operation : insert_before, fitness : 0.92
ID#360 : time : 40, Operation : insert_after, fitness : -1.0
ID#361 : time : 40, Operation : replace, fitness : -1.0
ID#362 : time : 10, Operation : delete, fitness : -1.0
ID#363 : time : 38, Operation : insert_after, fitness : -1.0
ID#364 : time : 45, Operation : insert_after, fitness : -1.0
ID#365 : time : 48, Operation : insert_after, fitness : -1.0
ID#366 : time : 35, Operation : replace, fitness : -1.0
ID#367 : time : 10, Operation : delete, fitness : -1.0
ID#368 : time : 174, Operation : delete, fitness : 0.92
ID#369 : time : 8, Operation : insert_before, fitness : -1.0
ID#370 : time : 10, Operation : replace, fitness : -1.0
ID#371 : time : 35, Operation : delete, fitness : -1.0
ID#372 : time : 50, Operation : delete, fitness : -1.0
ID#373 : time : 7, Operation : insert_before, fitness : -1.0
ID#374 : time : 42, Operation : insert_before, fitness : -1.0
ID#375 : time : 42, Operation : insert_before, fitness : -1.0
ID#376 : time : 41, Operation : delete, fitness : -1.0
ID#377 : time : 5, Operation : insert_after, fitness : -1.0
ID#378 : time : 47, Operation : replace, fitness : -1.0
ID#379 : time : 145, Operation : replace, fitness : 0.64
ID#380 : time : 58, Operation : insert_after, fitness : -1.0
ID#381 : time : 18134, Operation : delete, fitness : 0.64
ID#382 : time : 52, Operation : replace, fitness : -1.0
ID#383 : time : 38, Operation : delete, fitness : -1.0
ID#384 : time : 8, Operation : insert_after, fitness : -1.0
ID#385 : time : 44, Operation : replace, fitness : -1.0
ID#386 : time : 191, Operation : delete, fitness : 0.92
ID#387 : time : 27146, Operation : delete, fitness : 0.64
ID#388 : time : 194, Operation : delete, fitness : 0.8
ID#389 : time : 46, Operation : replace, fitness : -1.0
ID#390 : time : 11, Operation : delete, fitness : -1.0
ID#391 : time : 306, Operation : delete, fitness : 0.8
ID#392 : time : 12, Operation : delete, fitness : -1.0
ID#393 : time : 39, Operation : insert_before, fitness : -1.0
ID#394 : time : 51, Operation : delete, fitness : -1.0
ID#395 : time : 14, Operation : delete, fitness : -1.0
ID#396 : time : 43, Operation : replace, fitness : -1.0
ID#397 : time : 68, Operation : replace, fitness : -1.0
ID#398 : time : 7, Operation : insert_before, fitness : -1.0
ID#399 : time : 54, Operation : insert_after, fitness : -1.0
ID#400 : time : 37, Operation : replace, fitness : -1.0
ID#401 : time : 27118, Operation : delete, fitness : 0.64
ID#402 : time : 9, Operation : insert_before, fitness : -1.0
ID#403 : time : 38, Operation : replace, fitness : -1.0
ID#404 : time : 9, Operation : delete, fitness : -1.0
ID#405 : time : 10, Operation : delete, fitness : -1.0
ID#406 : time : 39, Operation : replace, fitness : -1.0
ID#407 : time : 5, Operation : insert_before, fitness : -1.0
ID#408 : time : 41, Operation : insert_after, fitness : -1.0
ID#409 : time : 44, Operation : replace, fitness : -1.0
ID#410 : time : 3139, Operation : insert_after, fitness : 0.84
ID#411 : time : 6, Operation : random-crossover, fitness : 0.8
ID#412 : time : 9, Operation : random-crossover, fitness : -1.0
ID#413 : time : 9, Operation : random-crossover, fitness : -1.0
ID#414 : time : 10, Operation : random-crossover, fitness : -1.0
ID#415 : time : 7, Operation : random-crossover, fitness : -1.0
ID#416 : time : 7, Operation : random-crossover, fitness : -1.0
ID#417 : time : 7, Operation : random-crossover, fitness : -1.0
ID#418 : time : 8, Operation : random-crossover, fitness : -1.0
ID#419 : time : 7, Operation : random-crossover, fitness : -1.0
ID#420 : time : 8, Operation : random-crossover, fitness : -1.0
ID#421 : time : 9, Operation : random-crossover, fitness : -1.0
ID#422 : time : 9, Operation : random-crossover, fitness : -1.0
ID#423 : time : 9, Operation : random-crossover, fitness : -1.0
ID#424 : time : 9, Operation : random-crossover, fitness : -1.0
ID#425 : time : 7, Operation : random-crossover, fitness : -1.0
ID#426 : time : 7, Operation : random-crossover, fitness : -1.0
ID#427 : time : 6, Operation : random-crossover, fitness : -1.0
ID#428 : time : 8, Operation : random-crossover, fitness : -1.0
ID#429 : time : 7, Operation : random-crossover, fitness : -1.0
ID#430 : time : 6, Operation : random-crossover, fitness : -1.0
ID#431 : time : 6, Operation : random-crossover, fitness : -1.0
ID#432 : time : 6, Operation : random-crossover, fitness : -1.0
ID#433 : time : 6, Operation : random-crossover, fitness : -1.0
ID#434 : time : 6, Operation : random-crossover, fitness : -1.0
ID#435 : time : 6, Operation : random-crossover, fitness : -1.0
ID#436 : time : 6, Operation : random-crossover, fitness : -1.0
ID#437 : time : 6, Operation : random-crossover, fitness : -1.0
ID#438 : time : 6, Operation : random-crossover, fitness : -1.0
ID#439 : time : 6, Operation : random-crossover, fitness : -1.0
ID#440 : time : 6, Operation : random-crossover, fitness : -1.0
ID#441 : time : 38, Operation : insert_after, fitness : -1.0
ID#442 : time : 267, Operation : replace, fitness : -1.0
ID#443 : time : 374, Operation : delete, fitness : 0.92
ID#444 : time : 234, Operation : delete, fitness : -1.0
ID#445 : time : 38, Operation : replace, fitness : -1.0
ID#446 : time : 208, Operation : replace, fitness : -1.0
ID#447 : time : 21326, Operation : delete, fitness : 0.64
ID#448 : time : 4, Operation : insert_after, fitness : -1.0
ID#449 : time : 343, Operation : replace, fitness : 0.92
ID#450 : time : 386, Operation : delete, fitness : 0.92
ID#451 : time : 232, Operation : insert_after, fitness : -1.0
ID#452 : time : 34, Operation : replace, fitness : -1.0
ID#453 : time : 265, Operation : replace, fitness : -1.0
ID#454 : time : 221, Operation : replace, fitness : -1.0
ID#455 : time : 32, Operation : replace, fitness : -1.0
ID#456 : time : 232, Operation : insert_after, fitness : -1.0
ID#457 : time : 8, Operation : delete, fitness : -1.0
ID#458 : time : 184, Operation : delete, fitness : -1.0
ID#459 : time : 275, Operation : insert_after, fitness : -1.0
ID#460 : time : 211, Operation : replace, fitness : -1.0
ID#461 : time : 262, Operation : replace, fitness : -1.0
ID#462 : time : 401, Operation : delete, fitness : 0.92
ID#463 : time : 11, Operation : delete, fitness : -1.0
ID#464 : time : 4, Operation : insert_after, fitness : -1.0
ID#465 : time : 186, Operation : delete, fitness : -1.0
ID#466 : time : 211, Operation : delete, fitness : -1.0
ID#467 : time : 7, Operation : insert_before, fitness : -1.0
ID#468 : time : 36, Operation : replace, fitness : -1.0
ID#469 : time : 263, Operation : replace, fitness : -1.0
ID#470 : time : 226, Operation : replace, fitness : -1.0
ID#471 : time : 168, Operation : delete, fitness : 0.96
ID#472 : time : 216, Operation : insert_before, fitness : -1.0
ID#473 : time : 199, Operation : delete, fitness : -1.0
ID#474 : time : 170, Operation : replace, fitness : 0.68
ID#475 : time : 40, Operation : replace, fitness : -1.0
ID#476 : time : 210, Operation : insert_after, fitness : -1.0
ID#477 : time : 35, Operation : insert_after, fitness : -1.0
ID#478 : time : 10, Operation : delete, fitness : -1.0
ID#479 : time : 7, Operation : delete, fitness : -1.0
ID#480 : time : 35, Operation : replace, fitness : -1.0
ID#481 : time : 34, Operation : insert_before, fitness : -1.0
ID#482 : time : 236, Operation : replace, fitness : -1.0
ID#483 : time : 199, Operation : delete, fitness : -1.0
ID#484 : time : 7, Operation : delete, fitness : -1.0
ID#485 : time : 281, Operation : replace, fitness : -1.0
ID#486 : time : 201, Operation : delete, fitness : -1.0
ID#487 : time : 403, Operation : delete, fitness : 0.92
ID#488 : time : 35, Operation : delete, fitness : -1.0
ID#489 : time : 40, Operation : replace, fitness : -1.0
ID#490 : time : 233, Operation : delete, fitness : -1.0
ID#491 : time : 194, Operation : insert_after, fitness : -1.0
ID#492 : time : 227, Operation : insert_before, fitness : -1.0
ID#493 : time : 19, Operation : insert_before, fitness : -1.0
ID#494 : time : 399, Operation : delete, fitness : 0.88
ID#495 : time : 40, Operation : replace, fitness : -1.0
ID#496 : time : 197, Operation : delete, fitness : -1.0
